title,location,distance,description,verdict,rating,experience
Villa lorine,Marrakech,"10,3 km du centre","Offrant une vue sur le jardin, la Villa lorine propose un hébergement avec une terrasse et un balcon, à environ 8 km du palais de la Bahia. ",,,
DAR ALIBABA MARRAKECH,"Médina, Marrakech","1,9 km du centre",Établissement Voyage Durable,Bien  ,"7,7",10 expériences vécues
"Riad Espoir, Riad de charme en exclusivité dans la médina de Marrakech","Médina, Marrakech",1 km du centre,"Situé à Marrakech, à moins de 1 km du Jardin Secret, le Riad Espoir, Riad de charme en exclusivité dans la médina de Marrakech propose un hébergement avec une terrasse et un parking privé. ",Exceptionnel ,"9,9",9 expériences vécues
Residence Jaouhara Marrakech,"Guéliz, Marrakech","1,2 km du centre",Établissement Voyage Durable,,,
Appartement équipé avec piscine,Marrakech,"3,8 km du centre","Situé à Marrakech, à 3,6 km du jardin Majorelle, l'Appartement équipé avec piscine propose un hébergement avec accès à une piscine intérieure. ",Bien  ,"7,0",2 expériences vécues
Palais Namaskar,"La Palmeraie, Marrakech","12,9 km du centre","Situé à Marrakech, le Palais Namaskar se trouve à 25 minutes de route de l'ancienne médina. ",Fabuleux  ,"9,1",247 expériences vécues
Riad Elisa & Spa,"Médina, Marrakech","0,8 km du centre",Établissement Voyage Durable,Superbe ,"8,6",307 expériences vécues
Riad Sultan Suleiman,"Kasbah, Marrakech","1,5 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",266 expériences vécues
Palais Chadmi,"Médina, Marrakech","1,2 km du centre","Situé à Marrakech, à quelques pas du musée Mouassine, le Palais Chadmi propose un restaurant, un parking privé, une piscine extérieure et un jardin. ",Très bien ,"8,5",115 expériences vécues
Riad Charme d'Orient Adults Only,"Kasbah, Marrakech","1,6 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,8",82 expériences vécues
Riad Bellamane Marrakech,"Médina, Marrakech","2,2 km du centre","Situé au cœur de la médina de Marrakech, le Bellamane Ryad & Spa vous accueille dans un riad climatisé doté d'une terrasse panoramique avec vue sur l'Atlas. ",Fabuleux  ,"9,3",151 expériences vécues
Riad Dar Talah,"Médina, Marrakech","0,8 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,7",31 expériences vécues
Hôtel Du Golf Rotana Palmeraie,"La Palmeraie, Marrakech","6,9 km du centre",Établissement Voyage Durable,Bien  ,"7,7",735 expériences vécues
Wazo Hotel,Marrakech,"5,4 km du centre","Situé à Marrakech dans la région de Marrakech-Tensift-Haouz, à 4 km des jardins Majorelle, le Wazo Hotel propose un spa et une salle de sport. ",Bien  ,"7,4",3 717 expériences vécues
Riad Clémentine,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Exceptionnel ,"9,5",116 expériences vécues
Dar Habache,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Bien  ,"7,9",432 expériences vécues
Riad L'Aziza,"Médina, Marrakech","1,6 km du centre","Situé à Marrakech, le Riad L'Aziza propose un restaurant et une connexion Wi-Fi gratuite, à 700 mètres de la place Djemaa El Fna et à 15 minutes de route du centre commercial Menara. ",Fabuleux  ,"9,0",295 expériences vécues
Riad Samarine,"Médina, Marrakech","1,2 km du centre","Situé à Marrakech, le Riad Samarine se trouve au centre de l'ancienne Médina et à 6 minutes de marche de la medersa Ben Youssef. ",Fabuleux  ,"9,0",159 expériences vécues
Riad Assala,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",130 expériences vécues
Oliva Hotel Condominium Marrakech,Marrakech,"9,6 km du centre",L'Oliva Condominium Hotel propose des appartements et une connexion Wi-Fi gratuite. Il est installé à 10 km de Marrakech. Vous pourrez profiter d'un restaurant sur place. ,Bien  ,"7,3",989 expériences vécues
Riad Aya,"Médina, Marrakech","0,9 km du centre",Cette maison d'hôtes se trouve à 10 minutes à pied de la place Jamaâ El Fna et du quartier de la Koutoubia. Elle est pourvue d'une piscine sur le toit-terrasse et propose un service de massages. ,Fabuleux  ,"9,1",129 expériences vécues
Riad Hart Essoura,"Médina, Marrakech","1,5 km du centre","Bénéficiant d'un emplacement privilégié dans le quartier de la médina de Marrakech, le Riad Hart Essoura est situé à 400 mètres du Musée orientaliste, à moins de 1 km du musée Boucharouite et à 6...",Exceptionnel ,"9,7",85 expériences vécues
Riad Palais Des Princesses & Spa,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Superbe ,"8,9",581 expériences vécues
Riad Jnane Mogador,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Superbe ,"8,7",843 expériences vécues
Riad Saba,"Médina, Marrakech","1,7 km du centre","Le Riad Saba est situé dans la médina de Marrakech, à seulement 1 km de la mosquée Koutoubia et de la place Jamâa El Fna. ",Superbe ,"8,7",96 expériences vécues
riad mimoune,Marrakech,1 km du centre,"Doté d'un bar et d'une terrasse, le riad mimoune est situé à Marrakech, à 1,1 km de la mosquée Koutoubia et à 1,8 km du palais de la Bahia. ",Superbe ,"8,8",151 expériences vécues
Riad Idra,"Médina, Marrakech",1 km du centre,Ce riad se trouve à seulement 10 minutes à pied de la place Jamaâ El Fna et de la mosquée Ben Youssef. Il comprend un salon marocain avec un coin lecture. ,Exceptionnel ,"9,7",141 expériences vécues
Riad Hikaya,"Kasbah, Marrakech","2,1 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,9",31 expériences vécues
Maison Do,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",79 expériences vécues
Le Domaine de la Palmeraie,Marrakech,"6,3 km du centre","Le Domaine de la Palmeraie possède une piscine extérieure et un barbecue. Il est situé à Marrakech, sur le parcours de golf Amelkis. ",Superbe ,"8,9",8 expériences vécues
Riad L'Etoile D'Orient,"Médina, Marrakech","1,4 km du centre","Le Riad L'Etoile D'Orient se trouve au cœur de Marrakech, à 2 minutes de marche de la place Jamaâ El Fna. ",Fabuleux  ,"9,2",310 expériences vécues
Zalagh Kasbah Hotel & Spa,"L'Agdal, Marrakech","4,9 km du centre","Situé à côté des jardins de l’Agdal, le Zalagh Kasbah Hotel & Spa possède une piscine extérieure et une salle de sport. Il vous accueille dans le sud de Marrakech. ",Note ,"6,3",692 expériences vécues
Riad L'Arganier,"Kasbah, Marrakech","1,9 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",81 expériences vécues
Riad Ciel d'Orient,"Mellah, Marrakech",2 km du centre,"Situé à Marrakech, le Riad Ciel d'Orient possède un restaurant, une piscine extérieure, un salon commun et un jardin. Vous pourrez profiter de chambres familiales et d’une terrasse bien exposée. ",Superbe ,"8,9",202 expériences vécues
Riad Chafia,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",149 expériences vécues
Riad Puchka,"Médina, Marrakech","1,8 km du centre","Situé à 10 minutes de marche de la place Jemaa el-Fna, le Riad Puchka comprend des hébergements climatisés avec une connexion Wi-Fi gratuite, une piscine avec terrasse et une baignoire spa. ",Très bien ,"8,2",350 expériences vécues
Demeures d'Orient Riad & Spa,"Médina, Marrakech","1,3 km du centre","Bénéficiant d'un emplacement idéal au cœur de la médina et facile d'accès en voiture, le tout nouveau riad Demeures d'Orient vous accueille dans un cadre alliant espace et lumière. ",Fabuleux  ,"9,0",116 expériences vécues
Riad Ivissa Kech,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",360 expériences vécues
Hotel Jadali & Spa,"L’Hivernage, Marrakech",450 m du centre,Établissement Voyage Durable,Superbe ,"8,9",290 expériences vécues
Les Sources Berbères Riad & Spa,"Médina, Marrakech","1,8 km du centre",L'établissement Les Sources Berbères Riad & Spa se trouve à 5 minutes à pied de la place Djemaa El Fna. ,Fabuleux  ,"9,4",166 expériences vécues
Villa Lila,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Superbe ,"8,6",34 expériences vécues
Dar Kandi,"Médina, Marrakech","0,7 km du centre","Situé à Marrakech, à 600 mètres du Jardin Secret, le Dar Kandi propose des hébergements, un restaurant, un parking privé, une piscine extérieure et un jardin. ",Exceptionnel ,"9,6",182 expériences vécues
Riad Carina,Marrakech,"1,7 km du centre","Situé à côté du Palais El Badi, en plein cœur de la Medina, ce charmant riad traditionnel se trouve à côté du musée Dar Si Said et de la place Jamaâ El Fna. ",Fabuleux  ,"9,2",589 expériences vécues
Hôtel Teranga & Spa,Marrakech,"2,3 km du centre","Situé à 1 km du centre commercial Carré Eden de Marrakech, l'Hôtel Teranga & Spa dispose d'une connexion Wi-Fi gratuite. ",Bien  ,"7,9",328 expériences vécues
RIAD KERDOUSS,"Médina, Marrakech","0,7 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",88 expériences vécues
Riad Bab Tilila,"Médina, Marrakech","0,5 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",288 expériences vécues
Riad Miski,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",286 expériences vécues
Riad Alice Terrace & Spa,Marrakech,"2,1 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",428 expériences vécues
Indian Palace,"Médina, Marrakech",450 m du centre,"Doté d’un bar, d’un restaurant, d’un parking privé gratuit et d’une piscine extérieure, l’Indian Palace vous accueille à 1,9 km du jardin Majorelle, à Marrakech. ",Fabuleux  ,"9,4",115 expériences vécues
Riad Mouna,"Médina, Marrakech","1,4 km du centre","Situé dans la médina de Marrakech, à 5 minutes à pied de la place Jamaâ El Fna et de la mosquée Koutoubia, ce Riad climatisé comprend un toit-terrasse doté de chaises longues, d'une petite piscine et...",Fabuleux  ,"9,0",314 expériences vécues
Riad El Sagaya,"Médina, Marrakech","0,9 km du centre","Doté d'une piscine extérieure ainsi que d'un toit-terrasse bien exposé donnant sur la médina et les montagnes de l'Atlas, le Riad El Sagaya se trouve à 5 minutes à pied du jardin Majorelle. ",Très bien ,"8,4",322 expériences vécues
Dar Charkia,"Médina, Marrakech","0,7 km du centre","Le Dar Charkia vous accueille à Marrakech. Il propose un bassin profond chauffé et un toit-terrasse avec une tente, des chaises longues et une vue panoramique. ",Fabuleux  ,"9,0",164 expériences vécues
Dar Nour el Houda,"Médina, Marrakech","1,6 km du centre","Situé à 15 minutes à pied de la place Jamaâ El Fna, le Dar Nour el Houda propose une terrasse avec bassin profond, un coin salon ainsi que des transferts depuis et à destination de l'aéroport...",Exceptionnel ,"9,5",152 expériences vécues
Riad Adriana,"Médina, Marrakech","0,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",531 expériences vécues
Riad Dar Saad - Hammam & Spa,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Fabuleux  ,"9,1",182 expériences vécues
The Pearl Marrakech,"L’Hivernage, Marrakech","0,7 km du centre","Le Pearl Marrakech dispose d'une piscine sur le toit, de 2 restaurants et d'un bar-salon avec une galerie d'art. ",Superbe ,"8,7",232 expériences vécues
Riad Alizé,"Médina, Marrakech","0,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",79 expériences vécues
Riad Albatoul,"Médina, Marrakech","1,6 km du centre","Bénéficiant d'un emplacement privilégié à Marrakech, le Riad Albatoul propose des chambres climatisées, une piscine extérieure et un bar. ",Exceptionnel ,"9,7",90 expériences vécues
Riad Medina Art & Suites,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",551 expériences vécues
Pestana CR7 Marrakech,"L’Hivernage, Marrakech","1,7 km du centre",Établissement Voyage Durable,Superbe ,"8,7",379 expériences vécues
Four Seasons Resort Marrakech,"L’Hivernage, Marrakech","1,9 km du centre",Le Four Seasons Resort Marrakech se trouve à 3 minutes en voiture des jardins de la Ménara. ,Fabuleux  ,"9,1",340 expériences vécues
Riad Full Moon,"Kasbah, Marrakech","1,7 km du centre","Idéalement situé dans le quartier de la Kasbah à Marrakech, le Riad Full Moon se trouve à 1,3 km du palais de la Bahia, à 1,2 km de la place Jemaa el-Fna et de la mosquée Koutoubia. ",Fabuleux  ,"9,0",208 expériences vécues
riad paradis blanc,"Médina, Marrakech","1,6 km du centre","Situé à Marrakech, le Riad paradis blanc propose un restaurant, un bar, un salon commun et un jardin. Une piscine intérieure et un service de location de voitures sont disponibles. ",Exceptionnel ,"9,6",170 expériences vécues
Riad Houdou,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",101 expériences vécues
Riad Zinoun & Spa 9 Rooms,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Très bien ,"8,5",128 expériences vécues
Palm Appart Club Marrakesh,"L'Agdal, Marrakech","4,1 km du centre",Établissement Voyage Durable,Bien  ,"7,6",1 070 expériences vécues
Les Jardins De La Médina,"Kasbah, Marrakech","2,1 km du centre","Situé dans le centre historique de Marrakech, à proximité de la place Jamaâ El Fna, l'hôtel Les Jardins De La Médina propose des jardins exotiques, une piscine extérieure, ainsi qu'un spa avec hammam...",Fabuleux  ,"9,1",284 expériences vécues
Riad Luciano Hotel and Spa,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",242 expériences vécues
Dar Assiya,"Médina, Marrakech","1,5 km du centre","L'établissement Dar Assiya est situé dans la médina de Marrakech, à 10 minutes à pied de la place Jamaâ El Fna et à 10 minutes de route du jardin Majorelle. ",Exceptionnel ,"9,5",124 expériences vécues
Riad Adika & Spa,"Médina, Marrakech","0,9 km du centre",Le Riad Adika & Spa propose des chambres modernes climatisées dans la médina de Marrakech. ,Fabuleux  ,"9,3",512 expériences vécues
Riad Haraka,"Médina, Marrakech","1,2 km du centre","Situé dans la médina de Marrakech, le Riad Haraka se trouve à respectivement 5 et 15 minutes à pied du musée de Marrakech et de Madrasat Ben Youssef ainsi que de la place Jamaâ El Fna. ",Superbe ,"8,6",43 expériences vécues
Riad Turquoise,Marrakech,2 km du centre,"Situé à Marrakech, le Riad Turquoise se trouve à seulement 10 minutes à pied de la place Jamaâ El Fna et de la mosquée Koutoubia. ",Fabuleux  ,"9,1",88 expériences vécues
Murano Resort Marrakech,"La Palmeraie, Marrakech","6,6 km du centre",Établissement Voyage Durable,Bien  ,"7,6",177 expériences vécues
Riad Dollar Des Sables & Spa,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",387 expériences vécues
Riad La Calèche,"Médina, Marrakech","1,4 km du centre","Doté d'une piscine intérieure et d'un centre de spa et de bien-être, le Riad La Calèche est situé à Marrakech. Il est équipé d'une connexion Wi-Fi gratuite. ",Superbe ,"8,9",382 expériences vécues
Riad LAMDINA,"Médina, Marrakech","0,9 km du centre","Situé dans le centre de Marrakech, à moins de 1 km du Jardin Secret et à 12 minutes à pied du musée Mouassine, le Riad LAMDINA propose des hébergements avec une connexion Wi-Fi gratuite et une...",Exceptionnel ,"9,5",156 expériences vécues
Riad Aguaviva,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,7",114 expériences vécues
